clean,label
sepi banget tanya aja apalagi beli kalo chat pasti chat ceklist tau kirim balas atau calon beli,1
aplikasi taik paket nggk jalan bandar lampung hari sana,0
nyesel pake shopee nggk niat paket busuk bandar lampung pake tik tok baik,0
aplikasi sangat buruk kirim barang palsu kecewa lagi pihak shopee pihak seler tipu aju return bahwa barang rusak pakai ntuk kalian ingin belanja online baik hindar aplikasi busuk karena akan tanggung jawab atas semua beli kalian walaupun aju return bukti jelas,0
lambat sekali kirim paketx,0
video shope banyak tipu lain spil lain jual kasi user baru guna shope udah banyak korbanya kalo video gak sesuai pilter aja terima kasih,0
apk bagus amanah,1
pertama rekomendasi shopee video resah kes tawar harga jangkau padahal toko aktif lama beberapa minggu dua banyak tawar produk beda video originalitas produk video sesuai produk real,1
aplikasi udah pakai tahun baik layan tapi bulan lalu mes barang sampai sekarang belum sampai awal stuck aja hari terus udah minggu pas cek udah kurir sedang tuju alamat tapi tungguin kurir dateng lohhh harus kurir konfirmasi ngechat dulu kan ahirnya karna cape nunggu esok hari kata paket cek bagi lacak pesan status kurir sedang tugas lama blm dateng,0
butuh jawab baik bukan malah tele tele doang malah tak hasil,0
bantu sangatt produk kualitas andal,1
tiap tanya customer service pernah dapat solusi,1
shopee cod udah mau hari semenjak engga cod paket batal tapi batal lagi kampung udah tanya kurir mau jemput paket belum berangkat pulkam gabisa kata sedih habis lebaran mau gabisa duit udah habis sekarang,0
iklan mana mana ganggu chorme mana mana inti ganggu banget,1
gila shopee pengirimannnya kenapa lama sekali heran,0
puas,1
senang sering belanja shopee tetapi satu hal bikin kesal banget sama shopee yaitu iklan ganggu konten ingin lihat seperti saat hendak pencet link google tiba tiba saja masuk aplikasi shopee susah keluar sangat sangat ganggu tolong lah developer kondisi kan aplikasi terimakasih nanti kasih bintang deh klo udah baik,1
kirim sekarang sangat buruk molor hari hari estimasi,0
buat shopee saran cuma kurir sih masih kurir suka nominal kembali udah kena biaya layan mahal masih dikacangin sama kurir lebih gantung individu masing tapi etika kerja harus prioritas tau mereka cari seser lebih bayar cod tapi jangan curang bilang kembali tapi besok tagih malah minta lebih lagi,0
masa baru kemarin tgl baru sekarang tgl sembilan minta lagi baru,1
barang terima sesuai,1
bayar status masih blm bayar,1
bintang bukan sekadar puji tapi kritik pribadi lama pakai shopee lihat kurir spx express sangat profesional laku profesi namun kali kecewa total rumah nomor hape aktif gak silent tapi paket batal hal balik malah paket sebut kembali bagaimana solusi muak sifat profesional seperti mohon ditindaklanjuti,0
tangan masalah beri jelas layan sangat buruk,0
paket stuck udah tengah bulan udah komplain kali kali cuma tanggepin doang tapi setatus pesan ngga ubah tolong baik lagi,0
mohon maaf belum aplikasi shopee indonesia benar cukup bagus sedia spaylater spinjaman sangat bantu transaksi dalam hal transaksi bayar online tapi sangat kecewa aplikasi spaylater bayar tagih tapi guna fitur lagi mohon pihak shopee perhati atur jangan sampai langgan atau guna aplikasi kecewa lama guna aplikasi,0
hama bet tiap muncul iklan apk pasti selalu susah buat keluar iklan,1
diskon pakai,1
layan dalam kembali hak konsumen saangat kecewa baik aju dana refund tiket peswat tanggal februari mei belum kembali kalian tahan hak hak konsumen tim shopee binatang tanggung jawab sama sekali tahan hak konsumen makan bukan hak mereka aplikasi seperti harus hapus saja sangat rugi,0
belanja macam macam,1
lama pakai guna platform belanja online hanya shopee pernah kecewa lain payah dah,0
aplikasi suka masalah suka spam bijak returnnya pun jelas,0
terima kasih shopee aplikasi sangat bantu butuh hari hari kamis moga shopee tetap sukses selalu depan,1
baru kali kecewa banget sen cushion refil malah datang bedak tabur ngga jelas tnpa merek,0
alhamdulillah selalu dapat harga murah,1
cocok tau,0
jasa kirim spxnya,1
shopee sangat sensitif relevan apalagi hadap affiliate mula sering kali sulit bahkan main mulai akun batas upload share link tiba tiba akun nonaktif padahal atur sendiri suruh share link bahkan parah akun mudah dibanned permanen gara gara masala kecil itu sekali bukan kasih ingat main blokir aja tiba tiba saran mending commerce lain baik affiliate jauh baik ditiktok,0
shopee tolong kasih nomor kurir bagi antar kalo sen cod pasti kirim lambat pdhl status udah antar kurir pdhl kalo cod pasti lgsg anter tolong pihak shopee kalo gin ngehubungin kurir,1
kulir lelet semua bjur lah,0
shopee emang jos pesan sesuai,1
produk beranda sesuai mati padahal udah search produk kita minat tapi tetep aja rekomendasi mau cek biar dapet poin aja lot minta ampun harus ulang kali nge refresh,1
sangat sangat rekomendasi,0
mesen barang akun baru kok malah blok yaa udah bayar padahal loh emg blom verif email tapi kan udah nomor telpon kenapa gabisa yaa duit gimna,1
sangat puas pakai apl shoopie tdk ribet pokok muantaaap betul,1
kurir busuk paket gak anter malah tinggal rumah ambil kantor gak,1
banyak merek cari lihat seperti pedro tampil malah merek lain,0
skrg nambah besar hapesaya lot bgt skrol pilih lot bgt turunin biar lot,0
saran masyarakat indonesia mending jangan download shope atau pakai shope bagi jual maupun beli nggk nyari solusi ketika akun dapat kendala masalah pada apk kalian punya otak pintar pakai tokopedia tiktokshop saja beli sesuatu ribet jual pun sulit kayak aplikasi shopee benar benar kecewa luap amarah hanya lalu comentar apk agar masyarakat indonesia pada tau buruk apk shope,0
aplikasi bagus bagus,0
sangat bagus puas pelayananya,1
sangaaaaaaat puas dgn sopiee,1
kembali barang dana ribet lama bahkan seperti pihak shopee seperti bantu curang seller,0
neng banget beli shopee selain barang bagus harga murah,1
aplikasi jelas,0
susah masukin alam langsung keluar tanpa simpan alamat aneh,1
asa dulu liat nih rating olshop deh kok sekarang tiba padahal mah sistem bagus amat sering error bahkan sistem aplikasi malah ngawur tinggi lagi ngebayar playstore yaakk refresh rating tinggi main kotor bahkan sistem aplikasi pun kotor harga beranda ehh pas klik nyata ihhh isi setan apa gmn dah tuhh kok ubah jelas,0
kenapa sekarang kirim agak lambat sampai satu minggu biasa hari nyampe,0
kirim lama selalu lewat batas estimasi,0
sangat puas,1
sebai customer tolong stiap kurir treaning supaya sabar hadap customer krena rssiko kerja kita belanja bayar pake uang terkadang kita sbagai customer beli sesuai tetep kita bayar meski barang kembali tapi terkadang kita pilih terima bayar,1
top,1
banyak tipu,0
good puas banget,1
sekarang parah pihak spaylater spinjam limit spaylater akun buat belanja padahal bayar tagih pernah lambat bener kecewa gguh parah payah,0
mudah belanja online bagai butuh dapat percaya produk tapi beberapa seller kurang kenan mutu produk sukses sll shopee,1
puas belanja shopee,1
tolong tambahin folder khusus wishlist favorit biar campur semua barang barang pingin beli,1
belanja senang dishopee banyak diskon ngirit waktu,1
kait opsi stuck kirim telat dlm informasi update,0
terlalu lama dalam kirim hari barang tampa gera management kirim beranta,0
untk apk bagus tpi jelek bagi kirim tlng dong sampai pihak spx kalo cari kurir jngn cwek soalny banyak tingkah udh tau paket udah mau minggu jalan pas udh datang udh mau antar alamat malah gak diantr alamt alas hari malam orang pesan paket karna butuh kalo butuh mungkin orang pesan padahal udh dri pagi siang sampe sore tanya kpn paketny antar malah gak jawab gilir sdah malam baru dikonfir klo hri sdah mlm,0
kirim lama banget kek siput minggu bisa nyampe paket kek aplikasi belah hari udah dtg jdi mls mesen sini tolong ganti aja ekspedisi biar cepet,0
kecewa bgt makin kesini pket hrusnya nympe tgl sekian tpi udh tanggal sekian nyampe jugaaa skrg klo hrus mikir ribu kaliii karna lama datang padahall terang udh dihub daerah masing tinggal dianterin bahkan hari kemaren posisi pket tuju alamat tpi ujung gajadi kirim trus,0
apakah dsini pinjam uang kepada orang butuh masuk sya slah,0
terimakasih atas layan muhammad teja alma ruf,1
jauh shopee tenpat belanja nyaman,0
shopee mantap super keren,1
aplikasi belanja baik nomor satu indonesia,0
paket kirim cepat sesuai estimasi aman konfirmasi kdtangan paket toko toko amanah,1
bintang buat shopee selalu puas barang barang beli kualitas oke kuat layan seller baik sangat bantu terima kasih shopee platform belanja andal,1
kadang toko amanah,1
lebih tanggal estimasi tolol banget jir,0
sangat puas lah mslah pelaynanx the best dech buat shopee,1
sekarang kirim lama terus kayak dulu pas masih sama pasti pesan cepet sampai kaya dulu,1
aplikasi suka error ngelag padahal sinyal bagus bad lah pokok mending belanja app lain aja,0
amat sangat bagus segi kirim baguss pollll gak cacat,0
belanja dua kali udah lama nunggu malah batal pihak sama shopee,0
kirim tepat waktu barang segel serta kondisi baik,1
kenapa sekarang shopeefood mahal bgt beli makan harga kena ongkir biaya layan aja sampe padahal jauh bgt kok warung mahal ongkir sama biaya layan dri pada harga makan mau dapet voucher gratis ongkir pun cuma ngurang doang tengah harga sama harga makan kikir bet dah,1
kirim cepat alhamdulillah barang barang aman kemas rapi harga saing terima kasih shopee langgan serta alamat rumah bukan tempat anda tinggal tolong jangan malas serta nomor hubung atau terang tambah agar kurir bingung terimakasih,0
